['uniq_id', 'initial_sal_', 'final_sal', 'mean_salary', 'period', 'period_cond', 'job', 'job_type', 'city', 'state', 'organization_', 'org_desc', 'sector_', 'sector_level', 'benefits']
['e604181adbc6c97d99ea4d555c09fbf5', '401.0', '0.0', '401.0', '', '', 'project estimator', 'full time', 'houston', ' tx 77040', 'construction', '  industrial facilities  infrastructure', 'experienced', '(non-manager)', '']
['55921bac6a43cc7665dc240466d9a625', '3100000.0', '3300000.0', '3200000.0', 'year', '', 'customer service rep ', 'full time', 'denver', ' co', 'manufacturing', '  other', 'experienced', '(non-manager)', '']
['f884de2958f94e4ad417aefcacd350c7', '1700.0', '2200.0', '1950.0', 'hour', '', 'maint mechanic ', 'full time', 'willoughby hills', ' oh 44092', 'manufacturing', '  other', 'experienced', '(non-manager)', '']
['2c245cd613ea74d1c076f8e027f6d734', '5600000.0', '6400000.0', '6000000.0', 'year', 'highl', 'sommeliers', 'full time', 'denver', ' co', 'all', '', 'manager', '(manager/supervisor of staff)', '"competitive base salary plus lucrative bonus plan', ' benefit package', ' in a highly diverse', ' very successful company! performance based upward mobility assured.\u200b do not hesitate', ' apply today.\u200b grow with this nationally present', ' dynamic restaurant group"']
['c8d4793a041484771cca9c30491ac025', '4500.0', '5000.0', '4750.0', 'hour', '', 'contract mechanical', 'part time', 'telecommute', '', 'marine', 'mfg  services', 'experienced', '(non-manager)', '']
['c8809c7fd620d50614d601f3c49b7e52', '7500000.0', '13000000.0', '10250000.0', 'year', 'generou', 'technical sales', 'full time', 'houston', ' tx', 'financial', 'services', 'experienced', '(non-manager)', 'commission plan']
['d5fc3473ab5b7e8c3b15859974d61f95', '4500000.0', '0.0', '4500000.0', '', '', 'entry level administrative assistant with opportunity for growth ', 'full time', 'denver', ' co 80202', 'other', 'not classified', 'experienced', '(non-manager)', '']
['78fbaa3187a9a3d213408fb85d083eb0', '0.0', '8500000.0', '8500000.0', 'year', '', 'sba business development officer ', 'full time', 'englewood', ' co 80112', 'banking', '', 'experienced', '(non-manager)', '']
['047c53ea5122a2821a134586256dc36d', '6000000.0', '11000000.0', '8500000.0', 'year', '', 'superintendent ', 'full time', 'houston', ' tx', 'construction', '  industrial facilities  infrastructureconstruction   residential  commercial office', 'building', 'construction/skilled trades', '']
['4bdb37e7a38b977ab6fbf4f57b03b603', '5000000.0', '10000000.0', '7500000.0', 'year', '', 'drywall estimator ', 'full time', 'houston', ' tx', 'construction', '  industrial facilities  infrastructureconstruction   residential  commercial office', 'building', 'construction/skilled trades', '']
['f75e9acecdad3e7cd7671c972d745991', '4000000.0', '0.0', '4000000.0', 'year', '', 'entry level customer consultant ', 'full time', 'philadelphia', ' pa', 'allretailbusiness', 'services   other', 'customer', 'support/client care', '']
['a2ed60800e7ca554b4d23ca32680b373', '6900000.0', '10100000.0', '8500000.0', 'year', '', 'packaging engineer ', 'full time', 'packaging engineer', '', 'chicago', ' il 60661', 'engineering', '', '']
['776bd5c4c2412714ed9f1ac098470aac', '1500.0', '1900.0', '1700.0', 'hour', '', 'customer', 'full time', 'anaheim', ' ca', 'aerospace', ' defensemanufacturing   other', 'administrative/clerical', '', '']
['64a597e5dd17740aadf4b0e8047b51a5', '1500.0', '2100.0', '1800.0', 'hour', '', 'insurance sales', 'full time', 'eden prairie', ' mn 55344', 'insurance', '', 'accounting/finance/insurance', '', '']
['ff0a14d110ed158f7177fd3f7442689d', '1300.0', '1600.0', '1450.0', 'year', '', 'jr systems admin ', 'full time', 'clifton', ' oh 45220', 'computer', 'it services', 'administrative/clerical', '', '']
['14d9601df689d69c56c2be5577dba06e', '2500000.0', '5700000.0', '4100000.0', 'year', '', 'restaurant mgr', 'full time', 'bojangles’ is expanding and opening new locations across the southeast!\xa0 currently located in over 715 locations in 12 states throughout the eastern u. s. with new locations coming to the middle tennessee area! at bojangles’ we are proud to be growing great leaders........one biscuit at a time! \xa0we are opening new locations in the charlotte area soon and have opportunities for experienced restaurant managers (unit directors', ' general managers', 'retailrestaurant', 'food servicesother not classified', 'food', 'services/hospitality', '']
['859885199d1b86a887808f52d0f863af', '1700.0', '1700.0', '1700.0', 'hour', '', 'merchandise specialist ', 'full time temporary', 'minneapolis', ' mn 55403', 'all', '', 'business/strategic', 'management', '']
['4568dd675bdc64e595cc413caf9279a0', '8500000.0', '10000000.0', '9250000.0', 'year', '', 'director', 'full time', 'las vegas', ' nv 89119', 'accounting', ' auditing services', 'accounting/finance/insurance', '', '']
['e806d0f6f0bbec4cb0e705d86d5630ab', '7000000.0', '8000000.0', '7500000.0', 'year', '', 'controller ', 'full time', 'las vegas', ' nv 89119', 'accounting', ' auditing services', 'accounting/finance/insurance', '', '']
['854a8a7b7b8226fae9cb9b730425bcc0', '5000000.0', '6000000.0', '5500000.0', 'year', '', 'staff accountant ', 'full time', 'las vegas', ' nv 89119', 'accounting', ' auditing services', 'accounting/finance/insurance', '', '']
['e4fd4ae8f9f69d0290c06438961dc5da', '1000.0', '1100.0', '1050.0', 'year', '', 'shift leader ', 'full time', 'homestead', ' fl', 'restaurant', 'food services', 'food', 'services/hospitality', '']
['78f96a7f675003b3c0e50bf0bbac510c', '0.0', '9000000.0', '9000000.0', 'year', '', 'sr internal auditor ', 'full time', 'boston', ' ma', 'insuranceaccounting', ' auditing servicesfinancial services', 'accounting/finance/insurance', '', '']
['3fc8b25974e8f82b8addbad938b546a1', '1200.0', '1400.0', '1300.0', 'hour', '', 'upscale unarmed officer ', 'part time', 'cherry hill', ' nj', 'security', ' surveillance', 'experienced', '(non-manager)', '']
['ced3c69d83333ad0211bb3fbb8ac430a', '1185.0', '1185.0', '1185.0', 'hour', '', 'security officer ', 'full time', 'orlando', ' fl 32826', 'security', ' surveillance', 'security/protective', 'services', '']
['aa6374fb5d6e869625fe80d33b4511f7', '1400.0', '1400.0', '1400.0', 'hour', '', 'upscale unarmed security officer ', 'part time', 'newark', ' de', 'security', ' surveillance', 'experienced', '(non-manager)', '']
['16b5ee3186fac7d71ac4a5e1ed704b11', '1087.0', '0.0', '1087.0', 'hour', '', 'unarmed security officer', 'full time', 'oakland', ' ca 94601', 'security', ' surveillance', 'entry', 'level', '']
['2ebf5a2ebd4db9eac7af21a51b17ca07', '1200.0', '0.0', '1200.0', 'hour', '', 'security guard ', 'full time', 'boston', ' ma 02108', 'security', ' surveillance', 'security/protective', 'services', '']
['cae88d97a69d3e02846cf725a6bb6a2d', '3093.0', '3093.0', '3093.0', 'hour', '', 'property custodian ', 'full time', 'new york', ' ny 10007', 'government', ' military', 'security/protective', 'services', '']
['c12fb522ac0dfba6d041f5a0e995eddc', '1500.0', '1700.0', '1600.0', 'hour', '', 'security officer ', 'full time', 'n springfld', ' va 22151', 'security', ' surveillance', 'security/protective', 'services', '']
['7c6a1a012e95dfa70f1178be5e1c3de1', '4500000.0', '0.0', '4500000.0', 'year', '', 'bookkeeper', 'full time', 'dallas', ' tx', 'architectural', ' design services', 'accounting/finance/insurance', '', '']
['c15f4b346ea091cf9f024648324e692d', '2000.0', '2300.0', '2150.0', 'hour', '', 'security officer ', 'full time', 'columbia', ' md 21045', 'security', ' surveillance', 'security/protective', 'services', '']
['03d9055c2dd195e7af5de2e8330d529e', '0.0', '1225.0', '1225.0', 'hour', 'plu', 'security officer', 'full time', 'saint petersburg', ' fl 33701', 'security', ' surveillance', 'experienced', '(non-manager)', 'benefits']
['9c9816bd0d9fa598abae92fd2583e8e1', '1345.0', '1345.0', '1345.0', 'hour', '', ' deputy judicial marshal', 'part time', 'part time deputy judicial marshal - belfast', '', 'belfast', ' me 04915', 'security/protective', 'services', '']
['7afdae7c18d8ef122681af8cec321fa4', '10000000.0', '13000000.0', '11500000.0', 'year', '', 'financial model validation ', 'full time', 'dallas', ' tx', 'banking', '', 'accounting/finance/insurance', '', '']
['2b4b16216b877a71bcdcac9ed7b1de0c', '4000000.0', '5000000.0', '4500000.0', 'year', '', 'accounts payable specialist ', 'full time', 'dallas', ' tx', 'real', 'estate property management', 'accounting/finance/insurance', '', '']
['a4a3dfc9f983a311aaebf2a3a0b6a434', '5500.0', '6500.0', '6000.0', 'hour', '', 'sr net developer ', 'full time temporary', 'dallas', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['5dfac2cf7d978461bb25a8a7778234ab', '4000000.0', '4500000.0', '4250000.0', 'year', '', 'outside sales', 'full time', 'camden', ' nj', 'internet', 'servicestelecommunications servicesbusiness services   other', 'sales/retail/business', 'development', '']
['dd46255edc502947b5c43a22d3572646', '1100.0', '1100.0', '1100.0', 'hour', 'benefit', 'security officer ', 'full time', 'parma', ' oh 44134', 'security', ' surveillance', 'entry', 'level', 'package']
['da72e4bd1c76b3308978f48342dafaf6', '1100.0', '1300.0', '1200.0', 'hour', '', 'security officer ', 'full time', 'palm bay', ' fl 32905', 'security', ' surveillance', 'security/protective', 'services', '']
['64e4ef868d1a169474c235739720133e', '1600.0', '1700.0', '1650.0', 'hour', '', 'administrative assistant ', 'full time', 'dallas', ' tx', 'legal', 'services', 'administrative/clerical', '', '']
['9de51ea740d55dc4602189b6b0d09f83', '7000000.0', '8500000.0', '7750000.0', 'year', '', 'front end developer ', 'full time', 'plano', ' tx', 'computer', 'software', 'it/software', 'development', '']
['89e871fb48f800e07482a6ca72f59a99', '10000000.0', '13000000.0', '11500000.0', 'year', '', 'director', 'full time', 'dallas', ' tx', 'healthcare', 'services', 'medical/health', '', '']
['3b258daa81389ffd7a2d732292f63894', '1300.0', '1300.0', '1300.0', 'hour', '', 'security officer ', 'full time', 'port canaveral', ' fl 32920', 'security', ' surveillance', 'security/protective', 'services', '']
['a75c411423819caaf383bb84cef9f41b', '1200.0', '1500.0', '1350.0', 'hour', '', 'customer service rep ', 'part time', 'dallas', ' tx', 'business', 'services   other', 'experienced', '(non-manager)', '']
['c77087c948753c9d9dfb63ce19d65069', '1640.0', '0.0', '1640.0', 'hour', '', 'surveillance investigator ', 'full time', 'minneapolis', ' mn', 'insurancesecurity', ' surveillance', 'security/protective', 'services', '']
['413cffb197d6c65d29e2f9680bb11fef', '1300.0', '1300.0', '1300.0', 'hour', '', 'office services associate', 'full time', 'dallas', ' tx', 'legal', 'servicesbusiness services   other', 'administrative/clerical', '', '']
['9d8ddcd34d1bc9b1349e7403f45337ee', '9000000.0', '10500000.0', '9750000.0', 'year', '', 'system admin ', 'full time', 'dallas', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['bc4635c29a331d26eef0759903a3d700', '1400.0', '1400.0', '1400.0', 'hour', '', 'upscale unarmed security officer ', 'part time', 'newark', ' de', 'security', ' surveillance', 'experienced', '(non-manager)', '']
['5c9db47b9e72997c30378ae4ef383e58', '5500.0', '6500.0', '6000.0', 'hour', '', 'sr net developer ', 'full time temporary', 'dallas', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['6dd2ba3369f0b5995556150b3a564a4c', '5500000.0', '6500000.0', '6000000.0', 'year', 'bas', 'inside sales', 'full time', 'aurora', ' co 80014', 'business', 'services   other', 'experienced', '(non-manager)', '+ uncapped commissions + benefits']
['ab84ec8b0b261ba3b7dddc4fba0b3a2f', '12000000.0', '0.0', '12000000.0', 'year', '', 'corporate systems pm ', 'full time', 'dallas', ' tx', 'other', 'not classified', 'it/software', 'development', '']
['0ffbcc42063bd6729cbbbaf693b4073e', '2692.0', '2692.0', '2692.0', 'hour', '', 'data analyst ', 'full time', 'new york', ' ny 10007', 'government', ' military', 'security/protective', 'services', '']
['d5af70c0541a05cc173241aa576a0344', '1500.0', '2190.0', '1845.0', 'hour', '', 'unarmed security officer ', 'part time', 'seattle', ' wa', 'security', ' surveillance', 'experienced', '(non-manager)', '']
['d6ddba6bae6703c5ec85e2488c58e7ba', '5500000.0', '7500000.0', '6500000.0', 'year', '', 'assistant pm ', 'full time', 'dallas', ' tx', 'construction', '  residential  commercial office', 'building', 'construction/skilled trades', '']
['7358410c1d7fc0ac978fc1ae782bcb02', '1350.0', '0.0', '1350.0', 'hour', '', 'security officer ', 'full time', 'burlington', ' ma 01803', 'security', ' surveillance', 'security/protective', 'services', '']
['bd2e77c8a413477cbe9d86d1227ba9fa', '5500000.0', '7500000.0', '6500000.0', 'year', '', 'human resources', 'full time', 'dallas', ' tx', 'manufacturing', '  other', 'human', 'resources', '']
['5679941362c9ae9a63f7ccd98dda237a', '1600.0', '1800.0', '1700.0', 'hour', '', 'financial service specialist ', 'full time', 'centennial', ' co 80111', 'banking', '', 'customer', 'support/client care', '']
['6836505807f8e30174fde3857939464a', '950.0', '1100.0', '1025.0', 'hour', 'benefit', 'security officer ', 'full time', 'indianapolis', ' in 46225', 'security', ' surveillance', 'entry', 'level', '+ annual bonus']
['e8f478b2037e5c7a5b3fefaf39fb8fd5', '9000000.0', '10000000.0', '9500000.0', 'year', '', 'pm ', 'full time', 'dallas', ' tx', 'computer', 'software', 'it/software', 'development', '']
['e32f1c27c5768b0b9f38ccf79a0e261d', '8000000.0', '9000000.0', '8500000.0', 'year', '', 'director', 'full time', 'aurora', ' co 80014', 'retail', '', 'executive', '"(svp', ' vp', ' department head', ' etc)"', '']
['9b426ddcca54bde1339daf931f1e9c10', '1950.0', '1950.0', '1950.0', 'hour', '', 'intelligence analyst ', 'full time', 'cedar rapids', ' ia 52404', 'government', ' military', 'security/protective', 'services', '']
['63fcbc17b6a4611a156bcb7e7245db4a', '1400.0', '1500.0', '1450.0', 'hour', '', 'it telecom admin assistant ', 'full time', 'arlington', ' tx 76011', 'telecommunications', 'services', 'administrative/clerical', '', '']
['ce8ff6bac8a4b9c96e4c2425e510fb7f', '5405800.0', '7917400.0', '6661600.0', 'year', '', 'sr telecommunications tech ', 'full time', 'miami', ' fl 33173', 'government', ' military', 'experienced', '(non-manager)', '']
['dd276db61c2de3de56ba6e3c0b06f119', '1700.0', '1900.0', '1800.0', 'hour', '', 'accounts receivable', 'full time', 'dallas', ' tx', 'accounting', ' auditing services', 'accounting/finance/insurance', '', '']
['0afb67d9cfc255e9136518977aca3029', '3500000.0', '5500000.0', '4500000.0', 'year', '', 'pm', 'full time', 'denver', ' co 80238', 'construction', '  residential  commercial office', 'building', 'construction/skilled trades', '']
['877bf957fdc9153fea0d587ad410715f', '3500.0', '5000.0', '4250.0', 'hour', '', 'business analyst ', 'full time temporary', 'dallas', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['a0f38ff09d3624d61ebe81872b68c111', '4000.0', '0.0', '4000.0', '', '', 'route delivery driver', 'full time', 'aurora', ' co', 'transpt', ' stage   materials', 'experienced', '(non-manager)', '']
['71d984d776e55151dad7f9c647573feb', '5400000.0', '6600000.0', '6000000.0', 'year', 'highl', '', 'full time', 'dallas', ' tx', 'all', '', 'manager', '(manager/supervisor of staff)', '"competitive base salary plus lucrative bonus plan', ' benefit package', ' in a highly diverse', ' very successful company! performance based upward mobility assured.\u200b do not hesitate', ' apply today.\u200b grow with this nationally present', ' dynamic restaurant group"']
['0a521f270980b8558c42e7be1f6a13c0', '1300.0', '1500.0', '1400.0', 'hour', '', 'customer service rep ', 'full time', 'dallas', ' tx', 'other', 'not classified', 'customer', 'support/client care', '']
['924a707ac0d922ec873faaf776cbe098', '12000000.0', '0.0', '12000000.0', 'year', '', 'sr sap procurement analyst ', 'full time', 'dallas', ' tx', 'other', 'not classified', 'it/software', 'development', '']
['0a46bf6ab4ec3e5e6be1c9814fa05296', '1300.0', '1500.0', '1400.0', 'year', '', 'jr field mgr ', 'full time', 'denver', ' co 80238', 'construction', '  residential  commercial office', 'building', 'construction/skilled trades', '']
['3650fa1e3d9d124e3045f1b57ad46eaf', '110000.0', '0.0', '110000.0', 'week', '', 'shuttle driver', 'full time', 'aurora', ' co 80010', 'transpt', ' stage   materials', 'experienced', '(non-manager)', '']
['26512fdea3e6a1707f019e36f4994d0c', '2500.0', '3500.0', '3000.0', 'hour', '', 'pc', 'temporary', 'akron', ' oh 44310', 'computer', 'hardwarecomputer softwarecomputer it services', 'it/software', 'development', '']
['302fa0038e04a0c6bf75d3b8f4919c36', '10000.0', '12000.0', '11000.0', 'hour', '', 'software systems engineer ', 'full time temporary', 'dallas', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['3025426dd87635789cd964ada5c6ac8b', '3000.0', '3500.0', '3250.0', 'hour', '', 'pc', 'temporary', 'keswick', ' ca 96001', 'computer', 'hardwarecomputer softwarecomputer it services', 'it/software', 'development', '']
['18a51f585e2bb8905620b32d0b63a53d', '7200000.0', '7500000.0', '7350000.0', 'year', '', 'as', 'full time', 'knoxville', ' tn', 'other', 'not classified', 'it/software', 'development', '']
['418f2b0084a9c1fbcde9ae89b678cb8d', '2200.0', '0.0', '2200.0', 'hour', '', 'project coordinator', 'full time', 'tampa', ' fl 33601', 'other', 'not classified', 'it/software', 'development', '']
['8e8e393fbabf0268a21ccdc3d9a6045e', '17000000.0', '20000000.0', '18500000.0', 'year', '', 'director', 'full time', 'bridgewater', ' nj', 'biotechnology', 'pharmaceuticalsbusiness services   othermedical devices  supplies', 'it/software', 'development', '']
['fc43fddd648a256769af027388dbb1fc', '0.0', '2000.0', '2000.0', 'hour', '', 'data analyst ', 'full time temporary', 'irving', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['bc7ef51d887b752b9638201e56265bf6', '7500.0', '10000.0', '8750.0', 'hour', '', 'infrastructure architect ', 'full time', 'irving', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['163b1b46e68f6cd64dc9a2b559a2c09b', '2500.0', '3500.0', '3000.0', 'hour', '', 'pc', 'temporary', 'memphis', ' tn 38105', 'computer', 'hardwarecomputer softwarecomputer it services', 'it/software', 'development', '']
['11d14b6e274b2b6ea15884f53b44770c', '2500.0', '3500.0', '3000.0', 'hour', '', 'pc', 'temporary', 'columbia', ' sc 29208', 'computer', 'hardwarecomputer softwarecomputer it services', 'it/software', 'development', '']
['39d2f43c25fca4357a8fc3459632fd90', '5500.0', '7500.0', '6500.0', 'hour', '', 'java solution architect ', 'full time temporary', 'dallas', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['392a70570672a9601013608fd1a57302', '5000000.0', '0.0', '5000000.0', 'year', '', 'system security analyst ', 'full time', 'charleston', ' sc', 'computer', 'it services', 'it/software', 'development', '']
['1a2a349d71dd3c905b754220c73dc0a9', '7000.0', '8000.0', '7500.0', 'hour', '', 'adobe ui developer', 'full time temporary', 'adobe ui developer - photo editor', '', 'san', 'francisco ca  ca 94107', 'it/software', 'development', '']
['7505148e9f98a8fb2592528ab397ce4d', '2500.0', '3500.0', '3000.0', 'hour', '', 'pc', 'temporary', 'green bay', ' wi 54311', 'computer', 'hardwarecomputer softwarecomputer it services', 'it/software', 'development', '']
['07b269e9cf339d7a263e4024d2287d23', '8000000.0', '22000000.0', '15000000.0', 'year', '', 'statistician', 'full time', 'bridgewater', ' nj 08807', 'biotechnology', 'pharmaceuticals', 'biotech/r&d/science', '', '']
['fa77f857712cbb9c9be44af438a1b093', '2600.0', '3200.0', '2900.0', 'hour', '', 'quality control scientist', 'full time', 'east durham', ' nc 27703', 'biotechnology', 'pharmaceuticals', 'biotech/r&d/science', '', '']
['8a6b035b3133bd8b9c36370f1d937a6a', '1000.0', '1200.0', '1100.0', 'hour', '', 'receptionist', 'full time', 'brandon', ' fl 33509', 'automotive', 'sales  repair services', 'sales/retail/business', 'development', '']
['905796b5a94a95cf56b3868b00c8ab3b', '7000000.0', '8000000.0', '7500000.0', 'year', '', 'quality engineer', 'full time', 'chicago', ' il', 'automotive', ' parts mfgmanufacturing   other', 'quality', 'assurance/safety', '']
['0ee6822c0b9959993d2939a6537be1ac', '9500000.0', '10500000.0', '10000000.0', 'year', '', 'quality assurance mgr ', 'full time', 'chicago', ' il', 'automotive', ' parts mfgmanufacturing   other', 'quality', 'assurance/safety', '']
['725f81723704c6deb61aaebb9cb82122', '1200.0', '1400.0', '1300.0', 'hour', '', 'quality tech-electromechanical testing ', 'full time temporary', 'quality technician-electromechanical testing', '', 'largo', ' fl 33773', 'quality', 'assurance/safety', '']
['86e9ca2a75fb2d7d10df304936136ec9', '2000.0', '2600.0', '2300.0', 'hour', '', 'research associate scientific-chemistry ', 'full time temporary', 'research associate scientific-chemistry (testing-hplc', ' ph)', 'round', 'lake  il 60073', 'biotech/r&d/science', '', '']
['c90b41e54892bc6d6d554343f9ada091', '12000000.0', '14000000.0', '13000000.0', 'year', '', 'director', 'full time', 'augusta', ' ga 30901', 'consumer', 'packaged goods manufacturingfood  beverage production', 'executive', '"(svp', ' vp', ' department head', ' etc)"', '']
['51b0fa78e9df260725a2ad533ced0556', '3000.0', '3300.0', '3150.0', 'hour', '', 'qa engineer ', 'full time temporary', 'we serve a wide spectrum of markets from radiology to rehabilitation equipment such as treadmills', ' elliptical cross-trainers to diagnostic tables', 'biotechnology', 'pharmaceuticals', 'quality', 'assurance/safety', '']
['7dd02a1f945bf4ae989e79e2ec156485', '7500000.0', '8000000.0', '7750000.0', 'year', '', 'quality engineer', 'full time', 'monroe', ' wi', 'manufacturing', '  other', 'quality', 'assurance/safety', '']
['194264ab4f7a15f68bd6c5a6ef407e31', '1992.0', '1992.0', '1992.0', 'hour', '', 'public safety dispatcher ', 'full time', 'davenport', ' ia 52801', 'telecommunications', 'services', 'entry', 'level', '']
['847af8d753393494ed4ed48332f6749c', '7500000.0', '8000000.0', '7750000.0', 'year', '', 'safety mgr ', 'full time', 'sikeston', ' mo', 'automotive', ' parts mfg', 'quality', 'assurance/safety', '']
['44d7a54634a2fd51a2b04df0226a8d33', '8000000.0', '8500000.0', '8250000.0', 'year', '', 'quality mgr ', 'full time', 'lexington', ' ky', 'automotive', ' parts mfgelectronics  components   semiconduct mfgmanufacturing   other', 'quality', 'assurance/safety', '']
['d823104003fbfb660099cc70f5b089d9', '7500000.0', '8500000.0', '8000000.0', 'year', '', 'ehs mgr', 'full time', 'temple', ' tx', 'chemicals', 'petro chemicalstranspt  stage   materials', 'quality', 'assurance/safety', '']
['b65140c55c87968e209479c659464be8', '10000000.0', '13000000.0', '11500000.0', 'year', '', 'three six sigma black belts', 'full time', '4060ber three six sigma black belts and a mbb – transactional location: baltimore', ' md salary: $100', 'accounting', ' auditing servicescomputer it servicesfinancial services', 'quality', 'assurance/safety', '']
['fee078e22bab8a44042905960ea6509d', '6500000.0', '6500000.0', '6500000.0', 'year', '', 'grocer merchandise consultant ', 'full time', 'birmingham', ' al', 'retailfood', ' beverage production', 'general/other:', 'food services', '']
['8f95b1430c9de697b19292d2bc0ff965', '5000000.0', '6500000.0', '5750000.0', 'year', '', 'general mgr', 'full time', 'gastonia', ' nc', 'restaurant', 'food services', 'food', 'services/hospitality', '']
['55baa3d2c4e38044f8c8a9690c5b9d1c', '2600.0', '3200.0', '2900.0', 'hour', '', 'registered nurse', 'per diem', 'altoona', ' pa 16602', 'healthcare', 'services', 'medical/health', '', '']
['428d670288c3ed40f0a49ba0da3731b7', '7500000.0', '7500000.0', '7500000.0', 'year', '', 'linux admin ', 'full time', 'atlanta', ' ga', 'computer', 'software', 'experienced', '(non-manager)', '']
['ac43b6e07ea3cd1880c59801d3b538dc', '4500.0', '5500.0', '5000.0', 'year', '', 'pm ', 'full time', 'atlanta', ' ga', 'computer', 'it services', 'it/software', 'development', '']
['14dcd38f12f6f8047d459a88d3e19479', '2400.0', '2400.0', '2400.0', 'hour', '', 'canadian payroll processor ', 'full time temporary', 'dallas', ' tx 75201', 'accounting', ' auditing services', 'human', 'resources', '']
['fe80eb9757f5f2041a766459bbe48772', '3000.0', '3500.0', '3250.0', 'hour', '', 'sr sales recruiter ', 'full time temporary', 'sr. sales recruiter', '', 'sy', 'springs  ga 30342', 'human', 'resources', '']
['b5e367faed57b79b5362888771ed5f2a', '10000000.0', '12000000.0', '11000000.0', 'year', '', 'devops engineer ', 'full time', 'atlanta', ' ga', 'computer', 'software', 'it/software', 'development', '']
['cda5b1b59cb1103a5fefdc7dff80ec22', '5000000.0', '6000000.0', '5500000.0', 'year', '', 'real estate mgr ', 'full time', 'atlanta', ' ga', 'real', 'estate property management', 'sales/retail/business', 'development', '']
['cdb936aedd3d167f55d5a14de10caec4', '17500000.0', '17500000.0', '17500000.0', 'year', '', 'lead security engineer', 'full time', 'west lake hills', ' tx', 'computer', 'it services', 'it/software', 'development', '']
['b7baf0165e3c46d785ddfe7dbdc70bc1', '6000000.0', '7000000.0', '6500000.0', 'year', '', 'claims supervisor', 'full time', 'atlanta', ' ga 30339', 'insurance', '', 'accounting/finance/insurance', '', '']
['d0ae041c4a3a4ffff83e64b9282a0cc9', '8000000.0', '12500000.0', '10250000.0', 'year', '', 'sr java engineer ', 'full time', 'atlanta', ' ga', 'computer', 'software', 'it/software', 'development', '']
['ba943537624ee615672795fae87a76c6', '5500000.0', '7500000.0', '6500000.0', 'year', '', 'restaurant mgr', 'full time', 'atlanta', ' ga', 'restaurant', 'food services', 'food', 'services/hospitality', '']
['88eeba1f8069459b62dbe0be903975fd', '9000000.0', '11000000.0', '10000000.0', 'year', '', 'sr pm', 'full time', 'austin', ' tx', 'manufacturing', '  otherarchitectural  design servicesconstruction   residential  commercial office', 'project/program', 'management', '']
['734d8001b0df3221370af607fbc2297b', '4000000.0', '0.0', '4000000.0', 'year', '', 'outside sales rep ', 'full time', 'atlanta', ' ga', 'allretailbusiness', 'services   other', 'sales/retail/business', 'development', '']
